Nama PTN,Provinsi,Kategori,Jenjang,Jurusan,Daya Tampung,Peminat,Jalur,Rasio Peminat,Gaji
Universitas Sumatera Utara,Sumatera Utara,IPA,S1,Kimia,40,256,SNBP,6.40,6500000
Universitas Sumatera Utara,Sumatera Utara,IPA,S1,Fisika,40,132,SNBP,3.30,4500000
Universitas Sumatera Utara,Sumatera Utara,IPA,S1,Biologi,40,286,SNBP,7.15,5000000
Universitas Sumatera Utara,Sumatera Utara,IPA,S1,Manajemen Sumber Daya Perairan,25,294,SNBP,11.76,7500000
Universitas Sumatera Utara,Sumatera Utara,IPA,D3,Metrologi dan Instrumentasi,34,11,SNBP,0.32,8500000
Universitas Andalas,Sumatera Barat,IPA,S1,Peternakan,40,51,SNBT,1.28,5743823
Universitas Andalas,Sumatera Barat,IPA,S1,Fisika,65,73,SNBT,1.12,4500000
Universitas Andalas,Sumatera Barat,IPA,S1,Penyuluhan Pertanian,20,110,SNBT,5.50,5500000
Universitas Sriwijaya,Sumatera Selatan,IPA,S1,Fisika,54,67,SNBT,1.24,4500000
Universitas Sriwijaya,Sumatera Selatan,IPA,S1,Teknologi Hasil Perikanan,57,94,SNBT,1.65,4750000
Universitas Sriwijaya,Sumatera Selatan,IPA,S1,Pendidikan Fisika,40,109,SNBT,2.73,3382500
Universitas Sriwijaya,Sumatera Selatan,IPA,S1,Matematika,54,116,SNBT,2.15,5000000
Universitas Sriwijaya,Sumatera Selatan,IPA,S1,Peternakan,57,117,SNBT,2.05,5743823
Universitas Sriwijaya,Sumatera Selatan,IPA,S1,Pendidikan Kimia,40,127,SNBT,3.18,2800000
Universitas Sriwijaya,Sumatera Selatan,IPA,S1,Biologi,54,181,SNBT,3.35,5000000
Universitas Indonesia,Jawa Barat,IPA,S1,Fisika,42,225,SNBT,5.36,4500000
Universitas Indonesia,Jawa Barat,IPA,S1,Teknik Biomedis,15,303,SNBT,20.20,9000000
Universitas Indonesia,Jawa Barat,IPA,S1,Kimia,42,309,SNBT,7.36,6500000
Universitas Indonesia,Jawa Barat,IPA,S1,Matematika,30,315,SNBT,10.50,5000000
Universitas Indonesia,Jawa Barat,IPA,S1,Geofisika,26,315,SNBT,12.12,13332511
Universitas Padjadjaran,Jawa Barat,IPA,S1,Fisika,33,185,SNBT,5.61,4500000
Universitas Padjadjaran,Jawa Barat,IPA,S1,Geofisika,28,277,SNBT,9.89,13332511
